Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58844 connected to 10.1.9.2 port 5201
[  5] 237.00-238.00 sec  5.50 MBytes  46.1 Mbits/sec    0   3.00 MBytes       
[  5] 238.00-239.00 sec  5.64 MBytes  47.3 Mbits/sec    0   3.00 MBytes       
[  5] 239.00-240.00 sec  5.58 MBytes  46.8 Mbits/sec    0   3.00 MBytes       
[  5] 240.00-241.00 sec  5.64 MBytes  47.3 Mbits/sec    0   3.00 MBytes       
[  5] 241.00-242.00 sec  5.48 MBytes  46.0 Mbits/sec    0   3.00 MBytes       
[  5] 242.00-243.00 sec  5.08 MBytes  42.6 Mbits/sec    2   2.03 MBytes       
[  5] 243.00-244.00 sec  6.09 MBytes  51.1 Mbits/sec    0   2.17 MBytes       
[  5] 244.00-245.00 sec  6.24 MBytes  52.4 Mbits/sec    1   1.56 MBytes       
[  5] 245.00-246.00 sec  5.65 MBytes  47.5 Mbits/sec    0   1.65 MBytes       
[  5] 246.00-247.00 sec  5.22 MBytes  43.8 Mbits/sec    0   1.73 MBytes       
[  5] 247.00-248.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1.79 MBytes       
[  5] 248.00-249.00 sec  5.78 MBytes  48.5 Mbits/sec    0   1.84 MBytes       
[  5] 249.00-250.00 sec  5.41 MBytes  45.4 Mbits/sec    0   1.86 MBytes       
[  5] 250.00-251.00 sec  5.53 MBytes  46.4 Mbits/sec    0   1.88 MBytes       
[  5] 251.00-252.00 sec  5.47 MBytes  45.9 Mbits/sec    0   1.89 MBytes       
[  5] 252.00-253.00 sec  6.04 MBytes  50.7 Mbits/sec    4   1.35 MBytes       
[  5] 253.00-254.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1.44 MBytes       
[  5] 254.00-255.00 sec  5.53 MBytes  46.4 Mbits/sec    0   1.50 MBytes       
[  5] 255.00-256.00 sec  5.59 MBytes  46.9 Mbits/sec    0   1.55 MBytes       
[  5] 256.00-257.00 sec  5.47 MBytes  45.9 Mbits/sec    0   1.58 MBytes       
[  5] 257.00-258.00 sec  5.34 MBytes  44.8 Mbits/sec    0   1.59 MBytes       
[  5] 258.00-259.00 sec  5.78 MBytes  48.5 Mbits/sec    0   1.60 MBytes       
[  5] 259.00-260.00 sec  5.72 MBytes  48.0 Mbits/sec    0   1.60 MBytes       
[  5] 260.00-261.00 sec  5.28 MBytes  44.3 Mbits/sec    0   1.60 MBytes       
[  5] 261.00-262.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1.61 MBytes       
[  5] 262.00-263.00 sec  5.78 MBytes  48.5 Mbits/sec    0   1.61 MBytes       
[  5] 263.00-264.00 sec  5.41 MBytes  45.4 Mbits/sec    0   1.62 MBytes       
[  5] 264.00-265.00 sec  5.59 MBytes  46.9 Mbits/sec    0   1.65 MBytes       
